combo_type,length,start_time,end_time,long_pnl,long_pnl_pct,long_win,short_pnl,short_pnl_pct,short_win
震荡_阳线_5K,5,2026-03-19 10:07:00,2026-03-19 10:11:00,710.0,0.20090548953027731,True,-710.0,-0.20090548953027731,False
震荡_阳线_5K,5,2026-03-19 10:08:00,2026-03-19 10:12:00,690.0,0.19537886510363572,True,-690.0,-0.19537886510363572,False
震荡_阳线_5K,5,2026-03-19 10:09:00,2026-03-19 10:13:00,310.0,0.08770440785378827,True,-310.0,-0.08770440785378827,False
震荡_阳线_5K,5,2026-03-19 10:10:00,2026-03-19 10:14:00,670.0,0.18945284886186908,True,-670.0,-0.18945284886186908,False
震荡_阴线_5K,5,2026-03-19 10:11:00,2026-03-19 10:15:00,320.0,0.09042613315248108,True,-320.0,-0.09042613315248108,False
震荡_阴线_5K,5,2026-03-19 10:12:00,2026-03-19 10:31:00,800.0,0.22596316800361538,True,-800.0,-0.22596316800361538,False
震荡_阴线_5K,5,2026-03-19 10:13:00,2026-03-19 10:32:00,1900.0,0.5367534888976778,True,-1900.0,-0.5367534888976778,False
震荡_阳线_5K,5,2026-03-19 10:14:00,2026-03-19 10:33:00,2520.0,0.712387629332278,True,-2520.0,-0.712387629332278,False
震荡_阳线_5K,5,2026-03-19 10:15:00,2026-03-19 10:34:00,2160.0,0.6097044626979422,True,-2160.0,-0.6097044626979422,False
震荡_星线_5K,5,2026-03-19 10:31:00,2026-03-19 10:35:00,1650.0,0.4650507328072154,True,-1650.0,-0.4650507328072154,False
震荡_阳线_5K,5,2026-03-19 10:32:00,2026-03-19 10:36:00,1720.0,0.48472551008905423,True,-1720.0,-0.48472551008905423,False
震荡_阳线_5K,5,2026-03-19 10:33:00,2026-03-19 10:37:00,510.0,0.14319407008086255,True,-510.0,-0.14319407008086255,False
震荡_阳线_5K,5,2026-03-19 10:34:00,2026-03-19 10:38:00,-50.0,-0.014035087719298244,False,50.0,0.014035087719298244,True
震荡_星线_5K,5,2026-03-19 10:35:00,2026-03-19 10:39:00,-600.0,-0.168335998653312,False,600.0,0.168335998653312,True
震荡_阳线_5K,5,2026-03-19 10:36:00,2026-03-19 10:40:00,-570.0,-0.1598698603242273,False,570.0,0.1598698603242273,True
震荡_阳线_5K,5,2026-03-19 10:37:00,2026-03-19 10:41:00,-250.0,-0.07015574575557737,False,250.0,0.07015574575557737,True
震荡_阴线_5K,5,2026-03-19 10:38:00,2026-03-19 10:42:00,-100.0,-0.028044984154583952,False,100.0,0.028044984154583952,True
震荡_阴线_5K,5,2026-03-19 10:39:00,2026-03-19 10:43:00,240.0,0.06737787759685569,True,-240.0,-0.06737787759685569,False
震荡_阳线_5K,5,2026-03-19 10:40:00,2026-03-19 10:44:00,490.0,0.13771394845563642,True,-490.0,-0.13771394845563642,False
震荡_阴线_5K,5,2026-03-19 10:41:00,2026-03-19 10:45:00,280.0,0.07865831390285698,True,-280.0,-0.07865831390285698,False
震荡_阴线_5K,5,2026-03-19 10:42:00,2026-03-19 10:46:00,70.0,0.01965739960685201,True,-70.0,-0.01965739960685201,False
震荡_阴线_5K,5,2026-03-19 10:43:00,2026-03-19 10:47:00,800.0,0.2244165170556553,True,-800.0,-0.2244165170556553,False
震荡_阴线_5K,5,2026-03-19 10:44:00,2026-03-19 10:48:00,980.0,0.2749102333931777,True,-980.0,-0.2749102333931777,False
震荡_阴线_5K,5,2026-03-19 10:45:00,2026-03-19 10:49:00,700.0,0.19646365422396855,True,-700.0,-0.19646365422396855,False
震荡_阴线_5K,5,2026-03-19 10:46:00,2026-03-19 10:50:00,710.0,0.19929824561403506,True,-710.0,-0.19929824561403506,False
震荡_星线_5K,5,2026-03-19 10:47:00,2026-03-19 10:51:00,680.0,0.19090398652442447,True,-680.0,-0.19090398652442447,False
震荡_星线_5K,5,2026-03-19 10:48:00,2026-03-19 10:52:00,-510.0,-0.14265734265734265,False,510.0,0.14265734265734265,True
震荡_阴线_5K,5,2026-03-19 10:49:00,2026-03-19 10:53:00,-640.0,-0.17904101158171543,False,640.0,0.17904101158171543,True
震荡_星线_5K,5,2026-03-19 10:50:00,2026-03-19 10:54:00,50.0,0.014007564084605685,True,-50.0,-0.014007564084605685,False
震荡_阴线_5K,5,2026-03-19 10:51:00,2026-03-19 10:55:00,-670.0,-0.1876487886850581,False,670.0,0.1876487886850581,True
震荡_星线_5K,5,2026-03-19 10:52:00,2026-03-19 10:56:00,-450.0,-0.12609280430396771,False,450.0,0.12609280430396771,True
震荡_星线_5K,5,2026-03-19 10:53:00,2026-03-19 10:57:00,-360.0,-0.10089686098654709,False,360.0,0.10089686098654709,True
震荡_阳线_5K,5,2026-03-19 10:54:00,2026-03-19 10:58:00,-50.0,-0.014014631275051153,False,50.0,0.014014631275051153,True
